Catégorie,Question,Option A,Option B,Option C,Bonne Réponse
Principes et valeurs,Lequel de ces symboles représente officiellement la République française ?,Le drapeau et Marianne,Le chêne,La couronne,A
Principes et valeurs,Quelles sont les couleurs du drapeau français ?,"Bleu, Blanc, Rouge","Rouge, Blanc, Vert","Bleu, Jaune, Rouge",A
Principes et valeurs,Quelle proposition est correcte concernant la liberté d'expression ?,Elle est absolue,Elle s'exerce dans le respect de la loi,Elle n'existe pas,B
Principes et valeurs,Quelle est la place de la langue française ?,Langue officielle de la République,Langue facultative,Langue secondaire,A
Principes et valeurs,Que permet le principe de laïcité ?,Pratiquer sa religion librement,Interdire les religions,L'obligation de croire,A
Principes et valeurs,Quel droit est garanti par la laïcité ?,Liberté de conscience,Droit de ne pas aller à l'école,Droit d'insulter,A
Système politique,Quel est le rôle de l'autorité judiciaire ?,Voter les lois,Protéger les libertés et appliquer la loi,Diriger la police,B
Système politique,Que se passe-t-il si un ministre ne respecte pas la loi ?,Rien,Il peut être poursuivi en justice,Il est nommé Président,B
Système politique,Quand sont élus les sénateurs ?,Tous les 6 ans (suffrage indirect),Tous les 5 ans,Chaque année,A
Système politique,Qui est élu lors des élections présidentielles ?,Le Premier ministre,Le Président de la République,Les députés,B
Système politique,Qui peut voter aux élections en France ?,Les citoyens français majeurs,Tous les résidents,Seulement les propriétaires,A
Système politique,Quel est le rôle des députés ?,Représenter les citoyens et voter la loi,Rendre la justice,Commander l'armée,A
Système politique,Qui sanctionne l'auteur d'un vol ?,Le Maire,Le juge (autorité judiciaire),Le Préfet,B
Système politique,Qui réside au palais de l'Élysée ?,Le Président de la République,Le Premier ministre,Le Ministre de l'Intérieur,A
Système politique,Qui est le préfet ?,Le représentant de l'État dans le département,L'élu de la mairie,Le chef de la police,A
Système politique,Quel est le rôle du Parlement ?,Voter la loi et contrôler le Gouvernement,Nommer le Président,Diriger les entreprises,A
Système politique,Quel État n'est pas membre de l'Union européenne ?,Allemagne,Suisse,Italie,B
Système politique,À quelle fréquence les élections européennes ont-elles lieu ?,Tous les 5 ans,Tous les 10 ans,Tous les 3 ans,A
Droits et devoirs,Lequel de ces droits est un droit fondamental ?,Droit de voter,Droit de voler,Droit de ne pas payer,A
Droits et devoirs,Quelle liberté permet de ne pas avoir de religion ?,La laïcité,La fraternité,L'égalité,A
Droits et devoirs,Est-il toujours possible de divorcer ?,Oui,Non,Seulement si l'un est d'accord,A
Droits et devoirs,Pourquoi les libertés peuvent-elles être limitées ?,Pour l'ordre public et le droit d'autrui,Pour le plaisir du gouvernement,Elles ne sont jamais limitées,A
Droits et devoirs,Que risque une personne qui ne respecte pas la loi ?,Une amende ou une peine de prison,Rien du tout,Une simple lettre,A
Droits et devoirs,Qu'est-ce qu'une infraction ?,Un acte interdit par la loi,Une bonne action,Un droit,A
Droits et devoirs,En quoi consiste la traite des êtres humains ?,L'exploitation d'une personne par la force,Un échange culturel,Une aide sociale,A
Histoire et Géo,Qu'est-ce que la Shoah ?,L'extermination des Juifs par les nazis,Une fête nationale,Une bataille célèbre,A
Histoire et Géo,Quel pays a été colonisé par la France ?,L'Algérie,L'Espagne,La Suède,A
Histoire et Géo,Qui était le premier Président de la Ve République ?,Charles de Gaulle,Valéry Giscard d'Estaing,Georges Pompidou,A
Histoire et Géo,Pourquoi l'année 1958 est-elle importante ?,Création de la Ve République,Fin de la 1ère guerre,Découverte de l'Amérique,A
Histoire et Géo,Quel océan borde la côte ouest française ?,L'Atlantique,Le Pacifique,L'Indien,A
Histoire et Géo,Quelle ville est située au bord de la Méditerranée ?,Marseille,Lille,Strasbourg,A
Histoire et Géo,Quelle chaîne de montagnes sépare la France et l'Italie ?,Les Alpes,Les Pyrénées,Le Jura,A
Histoire et Géo,Qui était Charles Baudelaire ?,Un poète célèbre,Un général,Un roi,A
Histoire et Géo,Qui était George Sand ?,Une femme écrivain,Un explorateur,Un peintre,A
Histoire et Géo,Qui était Simone de Beauvoir ?,Une philosophe et féministe,Une reine,Une chanteuse,A
Histoire et Géo,Qui était Albert Camus ?,Un écrivain (Prix Nobel),Un footballeur,Un scientifique,A
