Type d'Examen,Catégorie,Question,Option A,Option B,Option C,Bonne Réponse
CR,Principes et valeurs,"Parmi les propositions suivantes, laquelle constitue une participation citoyenne ?",Voter aux élections,Faire ses courses,Regarder la météo,A
CR,Principes et valeurs,Que garantit la liberté d’expression ?,Le droit de tout dire sans limite,Le droit d'exprimer ses idées dans le respect de la loi,L'obligation de se taire,B
CR,Principes et valeurs,À quoi sert un titre de séjour ?,À voyager gratuitement,À résider et travailler légalement,À remplacer le passeport,B
CR,Principes et valeurs,Sur quel site internet peut-on retrouver le symbole de la République ?,elysee.fr,google.fr,amazon.fr,A
CR,Principes et valeurs,"Complétez la Marseillaise : ""Aux armes […] ! Formez vos bataillons""",citoyens,soldats,amis,A
CR,Principes et valeurs,"Complétez la Marseillaise : ""Allons enfants de la patrie […]""",le jour de gloire est arrivé,le soleil se lève,la paix est là,A
CR,Principes et valeurs,"En tant que parent, peut-on refuser les cours de sport mixtes pour son enfant ?",Oui,"Non, l'école est laïque et les programmes obligatoires",Seulement au collège,B
CR,Principes et valeurs,La répudiation de sa femme est :,Autorisée,Interdite en France,Un choix personnel,B
CR,Principes et valeurs,Les impôts permettent de financer les dépenses publiques. C'est :,Une contribution obligatoire,Un don facultatif,Une épargne personnelle,A
CR,Principes et valeurs,"À l'école publique, qui peut porter des signes religieux très visibles ?",Les enseignants,Les élèves,Personne,C
CR,Principes et valeurs,Que peut faire un usager du service public dans une mairie ?,Voter et faire ses papiers,Vendre des objets,Dormir,A
CR,Principes et valeurs,La laïcité impose-t-elle aux agents publics d'être neutres ?,"Oui, strictement","Non, c'est libre",Seulement le week-end,A
CR,Système politique,Qu'est-ce que l'État de droit ?,Le droit du plus fort,Un système où tout le monde est soumis à la loi,Un État sans juge,B
CR,Système politique,La loi est l'expression de :,La volonté générale,La volonté du Président,La volonté des riches,A
CR,Système politique,Une personne peut-elle voter à la place d'une autre ?,Oui librement,"Non, sauf procuration officielle",Seulement pour sa famille,B
CR,Système politique,Est-ce que le vote est obligatoire en France ?,Oui,"Non, c'est un droit et un devoir civique",Seulement pour les fonctionnaires,B
CR,Système politique,"À la fin de son mandat, le Président peut-il décider de rester au pouvoir ?",Oui,"Non, il doit y avoir des élections",Seulement en cas de guerre,B
CR,Système politique,Qu'est-ce que l'Hôtel de Matignon ?,Le siège de l'Assemblée,La résidence du Premier ministre,Un hôpital,B
CR,Système politique,Quel est le rôle du Défenseur des droits ?,Défendre les citoyens contre les erreurs de l'administration,Défendre le Gouvernement,Défendre les banques,A
CR,Système politique,Quel traité concerne la construction de l'Union européenne ?,Le traité de Maastricht,Le traité de Versailles,Le traité de Verdun,A
CR,Système politique,Quel est l'hymne de l'Union européenne ?,L'Ode à la joie,La Marseillaise,L'hymne à l'amour,A
